url,fid,name,nick,birth_date,height,weight,association,class,locality,country,base_style,num_wins,num_losses,total_fights,win_rate
/fighter/allan-goes-196,196,allan goes,,4/20/1971,72.0,205.0,goes martial arts,light heavyweight,"mission viejo, california",usa,bjj,10,5,15,0.6666666666666666
/fighter/hugo-duarte-200,200,hugo duarte,,8/9/1968,72.0,240.0,hugo duarte luta livre,heavyweight,rio de janeiro,brazil,mma,6,3,9,0.6666666666666666
/fighter/scott-ferrozzo-128,128,scott ferrozzo,the pit bull,4/26/1965,71.0,323.0,,super heavyweight,"shakopee, minnesota",usa,wrestling,4,2,6,0.6666666666666666
/fighter/cal-worsham-113,113,cal worsham,,,70.0,230.0,worsham team x,heavyweight,"folsom, california",usa,taekwondo,13,10,23,0.5652173913043478
/fighter/john-matua-111,111,john matua,,,74.0,400.0,,super heavyweight,"garden grove, california",usa,kuialua,1,4,5,0.2
/fighter/steve-jennum-44,44,steve jennum,,,70.0,215.0,,heavyweight,"omaha, nebraska",usa,ninjutsu,2,3,5,0.4
/fighter/sam-adkins-122,122,sam adkins,the experience,4/26/1965,75.0,225.0,,heavyweight,"houston, texas",usa,boxing,7,20,27,0.25925925925925924
/fighter/lodune-sincaid-4208,4208,lodune sincaid,the vanilla gorilla,5/7/1973,69.0,185.0,,middleweight,"north hollywood, california",usa,wrestling,15,9,24,0.625
/fighter/andrei-semenov-1870,1870,andrei semenov,white shark,6/17/1977,72.0,185.0,,middleweight,st. petersburg,russia,sambo,34,9,43,0.7906976744186046
/fighter/curtis-stout-279,279,curtis stout,,11/7/1973,73.0,185.0,,middleweight,"kansas city, kansas",usa,mma,11,12,23,0.4782608695652174
/fighter/sean-salmon-14515,14515,sean salmon,,11/9/1977,70.0,205.0,,light heavyweight,"columbus, ohio",usa,wrestling,18,21,39,0.46153846153846156
/fighter/keith-rockel-2093,2093,keith rockel,,8/28/1965,72.0,185.0,team elite,middleweight,"amherst, massachusettes",usa,mma,12,4,16,0.75
/fighter/paul-jones-224,224,paul jones,,,69.0,198.0,,light heavyweight,"boys ranch, texas",usa,shoot wrestling,11,1,12,0.9166666666666666
/fighter/mark-hall-118,118,mark hall,the cobra,,72.0,190.0,,light heavyweight,"murrieta, california",usa,kickboxing,5,6,11,0.45454545454545453
/fighter/joe-moreira-126,126,joe moreira,,,,,,,,,bjj,2,2,4,0.5
/fighter/gerry-harris-83,83,gerry harris,,,80.0,313.0,,super heavyweight,,usa,wrestling,1,4,5,0.2
/fighter/sheldon-westcott-23648,23648,sheldon westcott,,8/20/1984,73.0,170.0,complete fitness and martial arts,welterweight,"st. albert, alberta",canada,mma,9,3,12,0.75
/fighter/carlos-eduardo-rocha-35142,35142,carlos eduardo rocha,ta danado,7/12/1981,70.0,170.0,american kickboxing academy,welterweight,"fortaleza, ceara",brazil,bjj,9,4,13,0.6923076923076923
/fighter/konstantin-erokhin-98151,98151,konstantin erokhin,,1/2/1982,71.0,233.0,,heavyweight,moscow,russia,mma,9,4,13,0.6923076923076923
/fighter/david-levicki-28,28,david levicki,,,77.0,290.0,,super heavyweight,"orem, utah",usa,kung fu,1,3,4,0.25
/fighter/wilson-gouveia-3070,3070,wilson gouveia,,10/3/1978,74.0,219.0,american top team,heavyweight,"coral pass, florida",usa,bjj,14,8,22,0.6363636363636364
/fighter/solomon-hutcherson-5342,5342,solomon hutcherson,king,8/13/1972,71.0,185.0,,middleweight,"racine, wisconsin",usa,wrestling,11,7,18,0.6111111111111112
/fighter/jerry-bohlander-127,127,jerry bohlander,,11/2/1974,71.0,199.0,lion's den,light heavyweight,"napa, california",usa,wrestling,11,4,15,0.7333333333333333
/fighter/tyrone-roberts-260,260,tyrone roberts,native warrior,7/14/1972,69.0,213.0,,heavyweight,"tama, iowa",usa,mma,43,12,55,0.7818181818181819
/fighter/asbel-cancio-57,57,mike mcclain,,,,,,,,,mma,0,1,1,0.0
/fighter/sean-daugherty-25,25,sean daugherty,,12/4/1975,70.0,190.0,,light heavyweight,"akron, ohio",usa,mma,0,2,2,0.0
/fighter/houston-dorr-178,178,houston dorr,,,72.0,205.0,,light heavyweight,"diamond head, mississippi",usa,kickboxing,1,2,3,0.3333333333333333
/fighter/marcus-bossett-54,54,marcus bossett,the grasshopper,,73.0,220.0,,heavyweight,"los angeles, california",usa,karate,1,3,4,0.25
/fighter/joe-charles-46,46,joe charles,the ghetto man,7/16/1958,73.0,260.0,,heavyweight,"culver city, california",usa,judo,6,13,19,0.3157894736842105
/fighter/zane-frazier-18,18,zane frazier,nasty,7/16/1966,78.0,230.0,,heavyweight,"north hollywood, california",usa,karate,4,11,15,0.26666666666666666
/fighter/aaron-rosa-15129,15129,aaron rosa,,5/28/1983,75.0,205.0,rodrigo pinheiro brazilian jiu-jitsu,light heavyweight,"san antonio, texas",usa,mma,18,6,24,0.75
/fighter/matt-hamill-16695,16695,matt hamill,the hammer,10/5/1976,74.0,205.0,,light heavyweight,"loveland, ohio",usa,wrestling,13,8,21,0.6190476190476191
/fighter/stanislav-nedkov-27115,27115,stanislav nedkov,,9/12/1981,71.0,203.0,bushido bulgaria,light heavyweight,veliko tarnovo,bulgaria,wrestling,12,2,14,0.8571428571428571
/fighter/dustin-jacoby-73825,73825,dustin jacoby,,4/4/1988,76.0,185.0,finney's hit squad,middleweight,"arenzville, illinois",usa,mma,10,5,15,0.6666666666666666
/fighter/carlos-diego-ferreira-26358,26358,carlos diego ferreira,,1/18/1985,68.0,156.0,james cooper mma,lightweight,"careiro da varzea, amazonas",brazil,bjj,14,2,16,0.875
/fighter/jake-rosholt-23322,23322,jake rosholt,,2/9/1982,73.0,205.0,team takedown,light heavyweight,"dallas, texas",usa,wrestling,12,5,17,0.7058823529411765
/fighter/john-salter-44683,44683,john salter,,3/21/1985,73.0,185.0,dethrone base camp,middleweight,"nashville, tennessee",usa,wrestling,16,4,20,0.8
/fighter/nolan-ticman-72084,72084,nolan ticman,,5/17/1988,66.0,125.0,kings mma,flyweight,"palm springs, california",usa,mma,4,3,7,0.5714285714285714
/fighter/bubba-mcdaniel-14600,14600,bubba mcdaniel,the menace,5/3/1983,75.0,190.0,jackson's mma,light heavyweight,"wichita falls, texas",usa,mma,30,10,40,0.75
/fighter/chase-gormley-22247,22247,chase gormley,,,75.0,264.0,reign mma,heavyweight,"los angeles, california",usa,wrestling,14,9,23,0.6086956521739131
/fighter/edgar-garcia-23108,23108,edgar garcia,,2/22/1984,70.0,170.0,arizona athletic club,welterweight,"yuma, arizona",usa,wrestling,14,5,19,0.7368421052631579
/fighter/bristol-marunde-12961,12961,bristol marunde,,4/20/1982,73.0,171.0,syndicate mma,welterweight,"las vegas, nevada",usa,wrestling,16,10,26,0.6153846153846154
/fighter/rob-macdonald-4638,4638,rob macdonald,,,75.0,230.0,franco behring,heavyweight,ontario,canada,wrestling,5,4,9,0.5555555555555556
/fighter/daiju-takase-226,226,daiju takase,,4/20/1978,72.0,183.0,iami,middleweight,tokyo,japan,kickboxing,12,15,27,0.4444444444444444
/fighter/kris-rotharmel-949,949,kris rotharmel,,,72.0,205.0,,light heavyweight,"metairie, louisiana",usa,jujutsu,4,3,7,0.5714285714285714
/fighter/satoshi-honma-251,251,satoshi honma,,5/19/1968,72.0,204.0,,light heavyweight,niigata,japan,karate,4,6,10,0.4
/fighter/jack-mclaughlin-885,885,jack mclaughlin,,10/1/1961,70.0,218.0,,heavyweight,"piqua, ohio",usa,wrestling,1,4,5,0.2
/fighter/tony-petarra-221,221,tony petarra,,11/8/1966,71.0,196.0,shark tank,light heavyweight,"santa maria, california",usa,wrestling,2,3,5,0.4
/fighter/john-lewis-230,230,john lewis,,7/16/1969,72.0,160.0,lewis,welterweight,"las vegas, nevada",usa,bjj,3,4,7,0.42857142857142855
/fighter/joel-sutton-107,107,joel sutton,,,70.0,202.0,,light heavyweight,"buffalo, new york",usa,kung fu,2,4,6,0.3333333333333333
/fighter/josh-stuart-185,185,josh stuart,,,69.0,159.0,,welterweight,"harvey, louisiana",usa,mma,0,2,2,0.0
