pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/ufc-fight-night-75-barnett-vs-nelson-45847,45847,4,ufc fight night 75 - barnett vs. nelson,ultimate fighting championship,9/26/2015,"saitama super arena, saitama, japan",/fighter/jingliang-li-26381,/fighter/keita-nakamura-9572,jingliang li,keita nakamura,loss,win,26381,9572,technical,submission (rear-naked choke,neil swailes,3,2:17
/events/ufc-on-fuel-tv-1-sanchez-vs-ellenberger-19187,19187,7,ufc on fuel tv 1 - sanchez vs. ellenberger,ultimate fighting championship,2/15/2012,"omaha civic auditorium, omaha, nebraska, united states",/fighter/aaron-simpson-24986,/fighter/ronny-markes-21175,aaron simpson,ronny markes,loss,win,24986,21175,decision,split,jim axtell,3,5:00
/events/ufc-191-johnson-vs-dodson-2-42229,42229,2,ufc 191 - johnson vs. dodson 2,ultimate fighting championship,9/5/2015,"mgm grand garden arena, las vegas, nevada, united states",/fighter/ron-stallings-11950,/fighter/joe-riggs-2765,ron stallings,joe riggs,loss,win,11950,2765,dq,illegal upkick,jason herzog,2,2:28
/events/ufc-1-the-beginning-7,7,5,ufc 1 - the beginning,ultimate fighting championship,11/12/1993,"mcnichols arena, denver, colorado, united states",/fighter/gerard-gordeau-15,/fighter/kevin-rosier-17,gerard gordeau,kevin rosier,win,loss,15,17,tko,corner stoppage,joao alberto barreto,1,0:59
/events/ufc-187-johnson-vs-cormier-42199,42199,2,ufc 187 - johnson vs. cormier,ultimate fighting championship,5/23/2015,"mgm grand garden arena, las vegas, nevada, united states",/fighter/islam-makhachev-76836,/fighter/leo-kuntz-44602,islam makhachev,leo kuntz,win,loss,76836,44602,submission,rear-naked choke,jason herzog,2,2:38
/events/ufc-fight-night-15-diaz-vs-neer-7916,7916,1,ufc fight night 15 - diaz vs. neer,ultimate fighting championship,9/17/2008,"omaha civic auditorium, omaha, nebraska, united states",/fighter/dan-miller-14464,/fighter/rob-kimmons-9863,dan miller,rob kimmons,win,loss,14464,9863,submission,rear-naked choke,josh arney,1,1:27
/events/ufc-37-high-impact-850,850,1,ufc 37 - high impact,ultimate fighting championship,5/10/2002,"centurytel center, bossier city, louisiana, united states",/fighter/aaron-riley-1567,/fighter/robbie-lawler-2245,aaron riley,robbie lawler,loss,win,1567,2245,decision,unanimous,,3,5:00
/events/ufc-the-ultimate-fighter-china-finale-34819,34819,4,ufc - the ultimate fighter china finale,ultimate fighting championship,3/1/2014,"cotai arena, macau, china, china",/fighter/kazuki-tokudome-26192,/fighter/yui-chul-nam-15987,kazuki tokudome,yui chul nam,loss,win,26192,15987,decision,split,jerin valel,3,5:00
/events/ufc-fight-night-25-shields-vs-ellenberger-16712,16712,10,ufc fight night 25 - shields vs. ellenberger,ultimate fighting championship,9/17/2011,"ernest n. morial convention center, new orleans, louisiana, united states",/fighter/jonathan-brookins-17316,/fighter/erik-koch-23390,jonathan brookins,erik koch,loss,win,17316,23390,decision,unanimous,myron gaudet,3,5:00
/events/ufc-121-lesnar-vs-velasquez-14039,14039,3,ufc 121 - lesnar vs. velasquez,ultimate fighting championship,10/23/2010,"honda center, anaheim, california, united states",/fighter/sam-stout-9901,/fighter/paul-taylor-6326,sam stout,paul taylor,win,loss,9901,6326,decision,split,herb dean,3,5:00
