pageurl,eid,mid,event_name,event_org,event_date,event_place,f1pageurl,f2pageurl,f1name,f2name,f1result,f2result,f1fid,f2fid,method,method_d,ref,round,time
/events/UFC-152-Jones-vs-Belfort-21045,21045,9,UFC 152 - Jones vs. Belfort,Ultimate Fighting Championship,9/22/2012,"Air Canada Centre, Toronto, Ontario, Canada",/fighter/Matt-Hamill-16695,/fighter/Roger-Hollett-15907,Matt Hamill,Roger Hollett,win,loss,16695,15907,Decision,Unanimous,Dan Miragliotta,3,5:00
/events/UFC-175-Ultimate-Brazil-27,27,2,UFC 17.5 - Ultimate Brazil,Ultimate Fighting Championship,10/16/1998,"Portuguesa Gymnasium, Sao Paulo, Brazil, Brazil",/fighter/Adriano-Santos-206,/fighter/Tulio-Palhares-205,Adriano Santos,Tulio Palhares,loss,win,206,205,TKO,,John McCarthy,1,9:00
/events/UFC-41-Onslaught-1424,1424,2,UFC 41 - Onslaught,Ultimate Fighting Championship,2/28/2003,"Boardwalk Hall, Atlantic City, New Jersey, United States",/fighter/Alexandre-Dantas-264,/fighter/Gan-McGee-273,Alexandre Dantas,Gan McGee,loss,win,264,273,TKO,Punches,,1,4:49
/events/UFC-on-Fox-13-Dos-Santos-vs-Miocic-38839,38839,4,UFC on Fox 13 - Dos Santos vs. Miocic,Ultimate Fighting Championship,12/13/2014,"US Airways Center, Phoenix, Arizona, United States",/fighter/Bryan-Barberena-51471,/fighter/Joe-Ellenberger-14173,Bryan Barberena,Joe Ellenberger,win,loss,51471,14173,TKO,Punches,Herb Dean,3,3:24
/events/UFC-on-Fox-8-Johnson-vs-Moraga-26215,26215,4,UFC on Fox 8 - Johnson vs. Moraga,Ultimate Fighting Championship,7/27/2013,"KeyArena, Seattle, Washington, United States",/fighter/Ed-Herman-6561,/fighter/Trevor-Smith-51113,Ed Herman,Trevor Smith,win,loss,6561,51113,Decision,Split,Herb Dean,3,5:00
/events/UFC-92-The-Ultimate-2008-8732,8732,5,UFC 92 - The Ultimate 2008,Ultimate Fighting Championship,12/27/2008,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Dean-Lister-338,/fighter/Yushin-Okami-5569,Dean Lister,Yushin Okami,loss,win,338,5569,Decision,Unanimous,Herb Dean,3,5:00
/events/UFC-Fight-Night-59-McGregor-vs-Siver-41773,41773,3,UFC Fight Night 59 - McGregor vs. Siver,Ultimate Fighting Championship,1/18/2015,"TD Garden, Boston, Massachusetts, United States",/fighter/Charles-Rosa-71116,/fighter/Sean-Soriano-61682,Charles Rosa,Sean Soriano,win,loss,71116,61682,Submission,Brabo Choke,Kevin MacDonald,3,4:43
/events/UFC-127-Penn-vs-Fitch-15202,15202,11,UFC 127 - Penn vs. Fitch,Ultimate Fighting Championship,2/27/2011,"Acer Arena, Sydney, New South Wales, Australia",/fighter/Michael-Bisping-10196,/fighter/Jorge-Rivera-2712,Michael Bisping,Jorge Rivera,win,loss,10196,2712,TKO,Punches,Marc Goddard,2,1:54
/events/UFC-67-All-or-Nothing-4311,4311,9,UFC 67 - All or Nothing,Ultimate Fighting Championship,2/3/2007,"Mandalay Bay Events Center, Las Vegas, Nevada, United States",/fighter/Anderson-Silva-1356,/fighter/Travis-Lutter-4586,Anderson Silva,Travis Lutter,win,loss,1356,4586,Submission,Elbows,Herb Dean,2,2:11
/events/UFC-182-Jones-vs-Cormier-38841,38841,2,UFC 182 - Jones vs. Cormier,Ultimate Fighting Championship,1/3/2015,"MGM Grand Garden Arena, Las Vegas, Nevada, United States",/fighter/Mats-Nilsson-32446,/fighter/Omari-Akhmedov-83462,Mats Nilsson,Omari Akhmedov,loss,win,32446,83462,Decision,Unanimous,Yves Lavigne,3,5:00
